CustomerID,LastName,FirstName,Gender,DOB,PhoneNumber,Email,Address,IDCard
CUST001,Đặng Hồng,Thảo,Nữ,1998-06-19,0978074891,đanghongthao1@gmail.com,Nha Trang,911866985
CUST002,Nguyễn Thanh,Yến,Nam,1998-12-06,0950953752,nguyenthanhyen2@gmail.com,Đà Lạt,387330334
CUST003,Đỗ Thu,Trang,Nữ,1995-02-18,0964126313,đothutrang3@gmail.com,Hà Nội,347686062
CUST004,Võ Đức,Dương,Nam,1981-11-30,0919881321,vođucduong4@gmail.com,Hải Phòng,128793230
CUST005,Nguyễn Anh,Tùng,Nam,1982-02-04,0988947641,nguyenanhtung5@gmail.com,Đà Lạt,975100225
CUST006,Đỗ Thu,Phúc,Nam,1976-03-10,0982554340,đothuphuc6@gmail.com,Nha Trang,977821103
CUST007,Lê Văn,Yến,Nữ,2004-03-14,0960497112,levanyen7@gmail.com,Hải Phòng,204116774
CUST008,Võ Minh,Thảo,Nữ,1999-11-04,0974193271,vominhthao8@gmail.com,Hà Nội,591549602
CUST009,Hoàng Thị,Trang,Nam,1984-03-02,0930928362,hoangthitrang9@gmail.com,Nha Trang,647575075
CUST010,Bùi Minh,Quân,Nam,2002-01-24,0919164904,buiminhquan10@gmail.com,Đà Nẵng,644476651
CUST011,Đặng Trung,Linh,Nữ,1992-01-18,0978502809,đangtrunglinh11@gmail.com,Hà Nội,609642506
CUST012,Trần Anh,Huy,Nam,2000-07-10,0996860627,trananhhuy12@gmail.com,Đà Lạt,738535826
CUST013,Hoàng Anh,Huy,Nam,1988-11-12,0980248732,hoanganhhuy13@gmail.com,Đà Lạt,482473249
CUST014,Đặng Hồng,Khánh,Nam,1984-06-06,0994529900,đanghongkhanh14@gmail.com,Đà Lạt,289263251
CUST015,Đặng Thanh,Quân,Nữ,1983-07-08,0984259625,đangthanhquan15@gmail.com,Đà Nẵng,359614188
CUST016,Bùi Đức,Thảo,Nữ,1994-09-05,0963935648,buiđucthao16@gmail.com,Hà Nội,988536047
CUST017,Bùi Văn,Tùng,Nam,1998-06-06,0930795983,buivantung17@gmail.com,Cần Thơ,150660322
CUST018,Nguyễn Trung,Khánh,Nam,1987-11-12,0916163848,nguyentrungkhanh18@gmail.com,Hải Phòng,402936079
CUST019,Nguyễn Anh,Trang,Nam,1995-07-31,0919756811,nguyenanhtrang19@gmail.com,Hồ Chí Minh,511847994
CUST020,Đỗ Trung,Quân,Nam,1988-08-16,0937385232,đotrungquan20@gmail.com,Hà Nội,506910238
