"Mã KH","Họ đệm","Tên","Giới tính","Ngày sinh","SĐT","Email","Địa chỉ","Căn cước",""
"CUST1","Đặng Hồng","Thảo","Nữ","19/06/1998 12:00:00 AM","0978748910","danghongthao1@gmail.com","Nha Trang","195911866985",""
"CUST2","Nguyễn Thanh","Yến","Nam","06/12/1998 12:00:00 AM","0959537520","nguyenthanhyen2@gmail.com","Đà Lạt","468438733334",""
"CUST3","Đỗ Thu","Trang","Nữ","18/02/1995 12:00:00 AM","0964126313","dothutrang3@gmail.com","Hà Nội","827934768662",""
"CUST4","Võ Đức","Dương","Nam","03/11/1981 12:00:00 AM","0919881321","voduCduong4@gmail.com","Hải Phòng","291128793233",""
"CUST5","Nguyễn Anh","Tùng","Nam","04/02/1982 12:00:00 AM","0988947641","nguyenanhtung5@gmail.com","Đà Lạt","374975122589",""
"CUST6","Đỗ Thu","Phúc","Nam","01/03/1976 12:00:00 AM","0982554340","dothuphuc6@gmail.com","Nha Trang","936897782113",""
"CUST7","Lê Văn","Yến","Nữ","24/03/2014 12:00:00 AM","0964971120","levanyen7@gmail.com","Hải Phòng","614724116774",""
"CUST8","Võ Minh","Thảo","Nữ","04/11/1999 12:00:00 AM","0974193271","vominhthao8@gmail.com","Hà Nội","134591549627",""
"CUST9","Hoàng Thị","Trang","Nam","02/03/1984 12:00:00 AM","0939283620","hoangthitrang9@gmail.com","Nha Trang","512647575757",""
"CUST10","Bùi Minh","Quân","Nam","22/01/2024 12:00:00 AM","0919164940","buiminhquan1@gmail.com","Đà Nẵng","644476651321",""
"CUST11","Đặng Trung","Linh","Nữ","18/01/1992 12:00:00 AM","0978528900","dangtrunglinh11@gmail.com","Hà Nội","148769642568",""
"CUST12","Trần Anh","Huy","Nam","02/07/2001 12:00:00 AM","0996866270","trananhhuy12@gmail.com","Đà Lạt","738535826843",""
"CUST14","Đặng Hồng","Khánh","Nam","06/06/1984 12:00:00 AM","0994529900","danghongkhanh14@gmail.com","Đà Lạt","289263251748",""
"CUST15","Đặng Thanh","Quân","Nữ","08/07/1983 12:00:00 AM","0984259625","dangthanhquan15@gmail.com","Đà Nẵng","359614188591",""
"CUST16","Bùi Đức","Thảo","Nữ","05/09/1994 12:00:00 AM","0963935648","buiducthao16@gmail.com","Hà Nội","451988536472",""
"CUST17","Bùi Văn","Tùng","Nam","06/06/1998 12:00:00 AM","0937959830","buivantung17@gmail.com","Cần Thơ","398615663224",""
"CUST18","Nguyễn Trung","Khánh","Nam","12/11/1987 12:00:00 AM","0916163848","nguyentrungkhanh18@gmail.com","Hải Phòng","215342936791",""
"CUST19","Nguyễn Anh","Trang","Nam","31/07/1995 12:00:00 AM","0919756811","nguyenanhtrang19@gmail.com","Hồ Chí Minh","511847994827",""
"CUST20","Đỗ Trung","Quân","Nam","16/08/1988 12:00:00 AM","0937385232","dotrungquan2@gmail.com","Hà Nội","129569123849",""
"CUST21","Phạm Hồng","Phúc","Nam","18/04/1985 12:00:00 AM","0948815267","phamhongphuc21@gmail.com","Đà Lạt","693485364194",""
"CUST22","Bùi Trung","Phúc","Nam","09/08/2022 12:00:00 AM","0971823270","buitrungphuc22@gmail.com","Biên Hòa","291187421173",""
"CUST23","Phan Hồng","Quân","Nữ","19/03/1991 12:00:00 AM","0933139571","phanhongquan23@gmail.com","Hồ Chí Minh","751429711463",""
"CUST24","Nguyễn Trung","Tùng","Nữ","28/07/1983 12:00:00 AM","0977189190","nguyentrungtung24@gmail.com","Đà Lạt","913983454192",""
"CUST25","Phạm Ngọc","Linh","Nam","11/05/1993 12:00:00 AM","0979823993","phamngoclinh25@gmail.com","Hồ Chí Minh","142488733245",""
"CUST26","Nguyễn Thu","Dương","Nam","18/03/1993 12:00:00 AM","0988489840","nguyenthuduong26@gmail.com","Hồ Chí Minh","661458661793",""
"CUST27","Hoàng Trung","Trang","Nam","25/04/1977 12:00:00 AM","0923134240","hoangtrungtrang27@gmail.com","Hải Phòng","388532345618",""
